Name,Address,Location,Cuisine,Longitude,Latitude,PhoneNumber,Url,Award,MinPrice_USD,MaxPrice_USD
Wagokoro Izumi,"634-3 Nioitenjincho, Shimogyo-ku, Kyoto, 600-8414, Japan",Kyoto,Japanese,135.760466,35.000915,3907,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/wagokoro-izumi,2 MICHELIN Stars,104.47337539432174,168.17868367760263
Gion Owatari,"570-265 Giommachi-minamigawa, Higashiyama-ku, Kyoto, 605-0074, Japan",Kyoto,Japanese,135.777074,35.001444,2372,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/gion-owatari,2 MICHELIN Stars,104.47337539432174,168.17868367760263
Oryori Mitsuyasu,"908-12 Koyamacho, Kamigyo-ku, Kyoto, 602-8157, Japan",Kyoto,Japanese,135.743425,35.01947,4671,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/oryori-mitsuyasu,2 MICHELIN Stars,104.47337539432174,168.17868367760263
Harbor House,"5600 CA-1, Elk, 95432, United States",Elk,"Californian, Creative",-123.719444,39.135876,-6394,https://guide.michelin.com/en/california/elk/restaurant/harbor-house,2 MICHELIN Stars,180.0,180.0
Vespertine,"3599 Hayden Ave., Culver City, 90232, United States",Culver City,Contemporary,-118.38166,34.024204,-3020,https://guide.michelin.com/en/california/culver-city/restaurant/vespertine,2 MICHELIN Stars,295.0,295.0
Providence,"5955 Melrose Ave., Hollywood, 90038, United States",Hollywood,Seafood,-118.3301829,34.083576,-3307,https://guide.michelin.com/en/california/hollywood/restaurant/providence,2 MICHELIN Stars,225.0,475.0
Sushi Ginza Onodera,"609 N. La Cienega Blvd., West Hollywood, 90069, United States",West Hollywood,"Japanese, Sushi",-118.3766888,34.082251,-3927,https://guide.michelin.com/en/california/west-hollywood/restaurant/sushi-ginza-onodera-559850,2 MICHELIN Stars,300.0,300.0
Addison,"5200 Grand Del Mar Way, San Diego, 92130, United States",San Diego,"Contemporary, French",-117.1988908,32.9412972,-356,https://guide.michelin.com/en/california/us-san-diego/restaurant/addison,2 MICHELIN Stars,175.0,275.0
Commis,"3859 Piedmont Ave., Oakland, 94611, United States",Oakland,Contemporary,-122.254846,37.8246825,-3045,https://guide.michelin.com/en/california/oakland/restaurant/commis,2 MICHELIN Stars,189.0,189.0
Mélisse,"1104 Wilshire Blvd., Santa Monica, 90401, United States",Santa Monica,French,-118.4915408,34.0245313,34,https://guide.michelin.com/en/california/santa-monica/restaurant/melisse,2 MICHELIN Stars,295.0,295.0
Hayato,"1320 E. 7th St., Ste. 126, Los Angeles, 90021, United States",Los Angeles,"Japanese, Seafood",-118.2418788,34.0338072,211,https://guide.michelin.com/en/california/us-los-angeles/restaurant/hayato,2 MICHELIN Stars,295.0,295.0
n/naka,"3455 S. Overland Ave., Los Angeles, 90034, United States",Los Angeles,"Japanese, Contemporary",-118.41206,34.02526,-5778,https://guide.michelin.com/en/california/us-los-angeles/restaurant/n-naka,2 MICHELIN Stars,245.0,285.0
Lazy Bear,"3416 19th St., San Francisco, 94110, United States",San Francisco,"Contemporary, Modern Cuisine",-122.41969,37.760204,-9380,https://guide.michelin.com/en/california/san-francisco/restaurant/lazy-bear,2 MICHELIN Stars,199.0,221.0
Birdsong,"1085 Mission St., San Francisco, 94103, United States",San Francisco,"Contemporary, American",-122.41048,37.779495,-8115,https://guide.michelin.com/en/california/san-francisco/restaurant/birdsong,2 MICHELIN Stars,255.0,255.0
Saison,"178 Townsend St., San Francisco, 94107, United States",San Francisco,"Californian, Contemporary",-122.41543,37.76327,-7403,https://guide.michelin.com/en/california/san-francisco/restaurant/saison,2 MICHELIN Stars,248.0,306.0
Campton Place,"340 Stockton St., San Francisco, 94108, United States",San Francisco,"Indian, Contemporary",-122.40665,37.78923,-4919,https://guide.michelin.com/en/california/san-francisco/restaurant/campton-place,2 MICHELIN Stars,65.0,167.0
Acquerello,"1722 Sacramento St., San Francisco, 94109, United States",San Francisco,"Italian, Contemporary",-122.42131,37.79167,-4584,https://guide.michelin.com/en/california/san-francisco/restaurant/acquerello,2 MICHELIN Stars,150.0,250.0
Coi,"373 Broadway, San Francisco, 94133, United States",San Francisco,"Contemporary, Californian",-122.4033677,37.7981895,-7978,https://guide.michelin.com/en/california/san-francisco/restaurant/coi,2 MICHELIN Stars,250.0,250.0
Californios,"355 11th St., San Francisco, 94103, United States",San Francisco,"Mexican, Contemporary",-122.4131414,37.7712406,-336,https://guide.michelin.com/en/california/san-francisco/restaurant/californios,2 MICHELIN Stars,223.0,223.0
Hiša Franko,"Staro selo 1, Kobarid, 5222, Slovenia",Kobarid,"Creative, Regional Cuisine",13.5382362,46.2472961,38653894120,https://guide.michelin.com/en/gorizia/kobarid/restaurant/hisa-franko,2 MICHELIN Stars,252.00000000000003,252.00000000000003
Oaxen Krog,"Beckholmsvägen 26, Stockholm, 115 21, Sweden",Stockholm,"Creative, Country cooking",18.1017477,59.3225114,46855153105,https://guide.michelin.com/en/stockholm-region/stockholm/restaurant/oaxen-krog,2 MICHELIN Stars,104.47337539432174,168.17868367760263
Gastrologik,"Artillerigatan 14, Stockholm, 114 51, Sweden",Stockholm,Creative,18.0808749,59.3336953,4686623060,https://guide.michelin.com/en/stockholm-region/stockholm/restaurant/gastrologik,2 MICHELIN Stars,104.47337539432174,168.17868367760263
Aloë,"Svartlösavägen 52, Stockholm, 125 33, Sweden",Stockholm,Creative,17.9857179,59.2843177,46731544151,https://guide.michelin.com/en/stockholm-region/stockholm/restaurant/aloe,2 MICHELIN Stars,104.47337539432174,168.17868367760263
Vollmers,"Tegelgårdsgatan 5, Malmo, 211 33, Sweden",Malmo,Creative,12.9966201,55.6046461,4640579750,https://guide.michelin.com/en/skane/malmo/restaurant/vollmers,2 MICHELIN Stars,104.47337539432174,168.17868367760263
